"","P21452_153","P21452_161","P21452_165","P21452_169","P21452_173","P21452_177","P21452_181","P21452_189"
"PS_chr01_G000039",39.479,97.339,21.603,16,8.001,87.207,3.223,31
"PS_chr01_G000040",0,49,28,0,0,0,0,0
"PS_chr01_G000041",38.521,112.661,43.397,24,20.999,51.793,19.777,13
"PS_chr01_G000043",7,5,18,3,14.975,12,0,3.172
"PS_chr01_G000044",0,0,0,0,0,0,0,0
"PS_chr01_G000045",212.046,72.699,442.178,408.689,335.239,257.82,86,271.987
"PS_chr01_G000046",110,48,23,98,8,134,8,14
"PS_chr01_G000047",908.304,961.092,1325.514,1360.271,1405.094,456.399,1028.6,1679.439
"PS_chr01_G000049",270.851,365.347,285.826,180.73,470.156,132.728,236.595,319.618
"PS_chr01_G000052",1118.875,2049.178,1938.775,1920.432,3156.59,1326.572,1445.918,2359.113
"PS_chr01_G000054",0,7.673,0,6.311,1.099,8.238,0,0
"PS_chr01_G000055",461.485,518.24,486.633,903.414,878.817,317.026,260.486,886.585
"PS_chr01_G000056",7,5,2,9,0,0,0,3
"PS_chr01_G000057",415.77,566.043,196.249,1239.185,350.635,290.413,154.144,516.513
"PS_chr01_G000058",35.85,11.182,26.56,55.556,65.304,24.52,28.012,29.553
"PS_chr01_G000059",509.381,480.283,312.926,823.071,550.071,238.473,198.941,649.481
"PS_chr01_G000061",103.376,76.088,14.246,178.032,106.357,40.763,34.246,57.165
"PS_chr01_G000062",42.966,9.673,24.006,303.671,96.91,20.415,21.313,242.082
"PS_chr01_G000063",0,3,1,0,4,0,0,0
"PS_chr01_G000064",0,0,0,0,0,3,2,0
"PS_chr01_G000065",1075.439,1365.929,359.467,1750.561,694.718,519.059,278.575,632.636
"PS_chr01_G000066",365.486,589.324,366.682,177.803,528.67,58.436,229.171,484.046
"PS_chr01_G000067",1250.792,1022.744,953.018,1556.949,2634.48,344.657,1166.234,3468.311
"PS_chr01_G000068",0,0,0,0,0,0,0,0
"PS_chr01_G000069",231.424,99.839,74.193,799.495,654.429,130.026,97.624,1154.906
"PS_chr01_G000070",0,0,0,0,0,0,1.002,0
"PS_chr01_G000071",165,133,203,254,281.999,68,206.691,366.954
"PS_chr01_G000072",0,1,0,1,5,2,0,4
"PS_chr01_G000073",1178,543.897,696.275,723.082,880.701,571.141,327.154,874.486
"PS_chr01_G000074",0,0,0,0,0,0,0,0
"PS_chr01_G000075",0,0,0,0,0,0,0,0
"PS_chr01_G000076",50,23,28,54,63,15,59,61
"PS_chr01_G000077",38,28,52,43,62,22,19.006,58
"PS_chr01_G000078",60,29,73,88,122,45.003,117,180
"PS_chr01_G000079",118,95.012,127,155.275,224.822,98.479,106,236
"PS_chr01_G000080",495.035,347.442,794.192,886.253,1166.963,353.95,328.917,956.884
"PS_chr01_G000083",0,0,0,0,0,0,0,2
"PS_chr01_G000084",12,14,7,19,14,28,7,24
"PS_chr01_G000085",5.739,14.803,0,10.009,10.968,10.238,0,8.39
"PS_chr01_G000086",14.249,8.197,21,23.991,3.032,6.762,9,18.61
"PS_chr01_G000088",2167.336,1732,2081.246,2218.494,2906.541,1641.21,1096.301,2955.225
"PS_chr01_G000089",20,21,48,63,76,24,19,53
"PS_chr01_G000090",490,386.037,470.002,540.504,537.064,387.031,295.611,371.978
"PS_chr01_G000092",1667.83,1762.199,1888.085,2112.606,3395.65,1723.187,1527.276,2718.444
"PS_chr01_G000093",9.303,38,22.987,38.139,15.066,22.107,9,3
"PS_chr01_G000094",4.002,5.287,5.309,13.196,1.027,23.953,2.001,6.239
"PS_chr01_G000095",50.695,92.839,76.705,164.671,63.907,133.047,22.999,56.761
"PS_chr01_G000096",560,883.315,732.234,353,668.18,456,259.352,556.504
"PS_chr01_G000097",43.991,31,106,177.265,88.064,62.001,15.99,189.103
"PS_chr01_G000098",229,273.372,329.806,336.242,312.177,184,130,291.641
"PS_chr01_G000099",379,335.459,606.226,759.742,1370.653,320.086,239.416,708.711
"PS_chr01_G000101",126,70,122,182.032,252.773,133,87,164
"PS_chr01_G000102",0,4,4,0,5,6,2,9
"PS_chr01_G000104",0,4,0,0,1,0,0,0
"PS_chr01_G000108",141,161.005,164,208,349.713,120,223,378.017
"PS_chr01_G000109",8550.511,7071.126,9498.247,11075.285,13302.124,6301.069,6467.334,13271.975
"PS_chr01_G000110",21.102,41.959,41,37.895,93.641,15.143,15.875,44.191
"PS_chr01_G000111",22,29,45,25,48,10,20,31
"PS_chr01_G000112",33,33,57,55,75,31.433,42.183,120.515
"PS_chr01_G000113",22.064,2.69,38.323,7.792,25.11,0,11.153,8
"PS_chr01_G000114",371,417.012,1249.709,439.62,1387.969,228,271.291,1076.661
"PS_chr01_G000115",363.105,156.164,1075.389,63.341,853.191,181.826,536.076,2324.15
"PS_chr01_G000116",0,0,0,0,0,0,0,0
"PS_chr01_G000118",603,651.177,457,852.132,403,367.001,218,445.025
"PS_chr01_G000119",0,1,0,0,0,0,0,0
"PS_chr01_G000121",0,0,1,0,0,0,0,1
"PS_chr01_G000122",307.209,190.301,103.07,558.949,190.813,164.568,286.653,435.039
"PS_chr01_G000123",1677.494,1280.594,1671.896,2016.572,2819.067,1217.401,1186.475,2495.141
"PS_chr01_G000125",13.534,0,10,42.893,20.239,0,0,16.647
"PS_chr01_G000126",14.523,121.913,0,79.644,0,1.88,0,79.116
"PS_chr01_G000127",173.209,135.415,23.589,303.243,13.914,16.66,40.331,229.337
"PS_chr01_G000128",244.825,74.308,34,162.761,24.838,255.113,152.34,219.555
"PS_chr01_G000129",113.257,168.892,0,96.301,0,0,7.793,201.795
"PS_chr01_G000130",138.036,40.664,50.929,2604.481,222.378,128.766,222.707,701.63
"PS_chr01_G000131",365.355,939.596,464.49,770.902,160.703,283.149,182.779,1234.847
"PS_chr01_G000132",3,0,0,0,0,0,0,0
"PS_chr01_G000133",24875.797,19063.537,25399.285,26033.844,30099.512,17240.038,11455.929,25191.801
"PS_chr01_G000134",0,0,0,1,0,6,2,0
"PS_chr01_G000135",1.001,0,0,0,6.049,2,1,0
"PS_chr01_G000136",17,16,35,36,72,47,46,99
"PS_chr01_G000137",93,248,51,220,138.869,162.585,0,14
"PS_chr01_G000138",326.651,49.592,29,152.04,29.004,211.831,8.819,16.335
"PS_chr01_G000139",190.836,226.819,64.753,225.17,68.658,431.164,97.405,21.81
"PS_chr01_G000140",0,0,0,0,0,2,0,0
"PS_chr01_G000141",69.371,120.932,113.876,3.442,26.546,81.314,0,0
"PS_chr01_G000142",59.286,219.149,120.204,155.203,23.183,88.363,52.214,10.19
"PS_chr01_G000143",5.091,131.975,75.138,29,3.186,43.406,6,0
"PS_chr01_G000145",66.415,336.534,145.011,141.995,74.555,155.199,102.38,12
"PS_chr01_G000146",46.381,149.792,92.101,167.501,53.044,50.374,8.185,129.754
"PS_chr01_G000147",220.085,288.959,427.132,301.639,336.468,365.011,215.998,487.673
"PS_chr01_G000148",174.148,50.217,92.9,36.109,156.52,175.602,100.831,133.482
"PS_chr01_G000149",2295.203,1842.439,2802.584,3010.289,4288.873,1931.417,1781.028,2824.013
"PS_chr01_G000150",1064.45,1061.46,1267.031,1062.53,2297.467,682.005,1650.922,2467.821
"PS_chr01_G000152",319.664,290,539.682,445.868,720.258,277.364,423.428,559.143
"PS_chr01_G000153",2285.649,1387.37,4027.736,3185.926,6323.867,721.183,2019.821,4841.709
"PS_chr01_G000154",2416.905,2038.461,1798.351,2451.755,2805.325,1788.215,1096.996,1742.355
"PS_chr01_G000156",159,205.173,162,167.292,194.061,83.035,94,111.269
"PS_chr01_G000157",0,0,0,0,0,0,0,0
"PS_chr01_G000158",98,94,101,208,224.001,70,107,149.132
"PS_chr01_G000159",244.114,264,387.197,169.003,1059.411,139.052,206.264,796.043
"PS_chr01_G000162",9.868,33,10,7.999,12,3,3,3
"PS_chr01_G000163",248.94,357.451,18.152,118.918,10.287,81.98,5.275,0
"PS_chr01_G000164",584.76,180.68,10.798,487.055,18.251,106.997,0,4.992
"PS_chr01_G000165",527.064,126.215,3.253,447.063,6.749,72.422,0,8.008
"PS_chr01_G000166",947.635,278.48,24.731,899.602,21.055,253.211,0,1.063
"PS_chr01_G000167",1426.512,983.157,52.15,917.769,21.944,462.951,5,34.84
"PS_chr01_G000168",886.727,331.838,21.944,445.533,3.001,214.845,2,13.098
"PS_chr01_G000169",340.475,66.53,3.124,113.767,2,219.336,0,2
"PS_chr01_G000170",45.252,82.534,100.01,85.394,88.426,6.799,45.25,97.213
"PS_chr01_G000171",12,10,1.122,5.998,1,6.045,2,0
"PS_chr01_G000172",7,12,11.878,16.002,2,9.585,0,0
"PS_chr01_G000173",0,0,0,0,0,2.37,0,2
"PS_chr01_G000174",0,0,0,0,1,0,0,0
"PS_chr01_G000175",7,11,25,11,0,11,0,0
"PS_chr01_G000176",0,0,0,0,0,0,0,0
"PS_chr01_G000177",4,8,4,16,6,9,0,5
"PS_chr01_G000178",6.852,1.081,0.975,3.993,1,3.74,0,0
"PS_chr01_G000179",10.026,4.314,24.594,7.78,0,3.292,0,0
"PS_chr01_G000180",15.122,10.605,20.432,11.227,0,7.969,0,0
"PS_chr01_G000181",18.255,17.463,2.907,119.125,4.124,18.658,0,0
"PS_chr01_G000182",37.895,26.369,18.225,222.205,8.855,41.824,1,0
"PS_chr01_G000183",11.849,3.168,5.871,0,1.021,4.518,0,0
"PS_chr01_G000184",6,0,12.997,2,1,1,0,1
"PS_chr01_G000185",0,0,0,0,0,0,0,0
"PS_chr01_G000186",2135.478,1747.647,2796.207,2659.509,3756.525,1666.393,1958.124,4056.792
"PS_chr01_G000187",3690.294,3739.768,2847.74,2908.633,3620.952,2875.886,1674.457,2968.103
"PS_chr01_G000189",1,0,0,0,0,4,2,3
"PS_chr01_G000190",249.531,103.158,193.279,312.929,382.158,154.99,126.018,349.748
"PS_chr01_G000191",1,0,2,3,1,2,4,7
"PS_chr01_G000192",138.661,414.045,621.852,241.082,779.706,200.74,352.062,571.35
"PS_chr01_G000193",0,0,0,0,18.229,0,0,1.186
"PS_chr01_G000194",130,135,175.195,127.087,240.014,115,140.047,182.057
"PS_chr01_G000196",0,0,0,0,0,0,0,0
"PS_chr01_G000197",0,0,1,0,0,0,0,0
"PS_chr01_G000198",0,0,0,0,0,0,0,0
"PS_chr01_G000200",1959.627,2321.614,1982.026,2902.245,2956.37,2020.674,1789.746,2926.446
"PS_chr01_G000201",63.2,24.455,253.114,85.457,96.167,20.438,398.165,487.53
"PS_chr01_G000202",0,0,1,7,5.038,0,0,2
"PS_chr01_G000203",0,0,0,0,0,0,0,0
"PS_chr01_G000204",0,0,0,0,0,0,0,1
"PS_chr01_G000205",172.8,45.545,421.301,257.465,557.899,159.562,1229.126,795.611
"PS_chr01_G000206",58.154,17.05,2.561,105.994,6.672,5.209,57.303,0
"PS_chr01_G000207",607.989,670.756,525.604,625.315,848.101,549.006,214,652.304
"PS_chr01_G000208",2,0,13,7,31,6,2,10
"PS_chr01_G000209",834,618,555.319,1525.005,1368.456,448.002,685.29,523.732
"PS_chr01_G000210",438.461,389,675.178,435.02,942.537,302,330.325,714.498
"PS_chr01_G000212",141,155,245,202,311,98.109,137,240.898
"PS_chr01_G000213",36,51,58,55,63.026,26,55,50
"PS_chr01_G000214",134,152.01,235.007,198.693,184,146.998,49,160
"PS_chr01_G000215",258,214.002,182,381.033,241,341,46,388
"PS_chr01_G000216",0,0,0,0,0,0,0,0
"PS_chr01_G000217",0,0,5,0,0,0,0,4
"PS_chr01_G000218",27,0,13,0,0,0,38,241
"PS_chr01_G000219",550.46,293.276,702.617,180.828,521.999,698,483.887,496.999
"PS_chr01_G000220",769.54,1003.724,4.383,15.172,428.001,165,84.113,204.018
"PS_chr01_G000221",0,0,0,0,0,0,0,0
"PS_chr01_G000222",0,0,0,0,0,0,0,0
"PS_chr01_G000223",1,4,0,0,0,0,0,0
"PS_chr01_G000224",973.004,1198,792,188,1041,1121,1120.002,994
"PS_chr01_G000225",622,586.755,639.09,427.687,419.99,436.231,220.922,531.502
"PS_chr01_G000226",8,3,16,16,4,1,1,18
"PS_chr01_G000227",0,0,0,0,0,0,0,0
"PS_chr01_G000228",922.224,663.933,926.261,902.536,1771.097,690.696,627.09,1302.454
"PS_chr01_G000230",0,0,0,0,0,0,1,0
"PS_chr01_G000231",196.241,152.553,301.599,216.191,409.276,133.018,232.572,359.793
"PS_chr01_G000232",145.77,107.447,156.401,101.193,199.357,114.229,95.428,250.347
"PS_chr01_G000234",7,20,68.994,38.121,59.576,17,24.903,99
"PS_chr01_G000235",23,29,85.006,28.002,124.424,29,43,89.02
"PS_chr01_G000236",36,28,24,26.983,18,46,25,23
"PS_chr01_G000237",122,96,123.12,68,177.005,91.991,123.869,130
"PS_chr01_G000239",167,132,294.02,132,535.218,129,240.173,348
"PS_chr01_G000241",110,74.049,98,92.004,142.135,124,108,140
"PS_chr01_G000242",5,1.078,0,0,3.504,0,1.03,0
"PS_chr01_G000244",1,0,3,0,1,0,0,1
"PS_chr01_G000245",17,13,52,48,47,15,5,8
"PS_chr01_G000246",3566.277,2893.307,2863.209,5416.734,5999.68,2613.167,2209.07,4065.946
"PS_chr01_G000247",708,629.3,930.928,475.06,1003.048,497.146,336,982.815
"PS_chr01_G000249",0,0,0,0,0,0,0,0
"PS_chr01_G000250",21,14,37,13.007,52,38,43.05,117.899
"PS_chr01_G000251",7.021,5,6.618,0,3.242,1,0,11.69
"PS_chr01_G000252",3.979,0,3.382,4,4.758,0,2.95,5.411
"PS_chr01_G000253",45551.656,28843.72,8595.939,28001.33,14351.675,25866.266,6537.436,12346.264
"PS_chr01_G000254",1.129,0,3.736,0,0,3.079,0,0
"PS_chr01_G000255",125,148,230.811,129.049,432.076,28,216.07,346.161
"PS_chr01_G000256",38.514,61.075,32.022,21,166.366,3,7.516,133.842
"PS_chr01_G000257",14105.16,8842.027,3235.643,6626.289,4805.316,6443.571,2401.884,3392.606
"PS_chr01_G000258",7,3,3,2,0,6,8,0
"PS_chr01_G000260",0,10,63,37,68.005,20,175.008,81
"PS_chr01_G000261",190,36,286,248,946,240,285.328,569.986
"PS_chr01_G000262",0,0,0,0,0,0,0,0
"PS_chr01_G000264",1847.601,1494.847,1603.823,1837.355,2367.176,1432.004,1065.067,1938.558
"PS_chr01_G000266",0,0,0,0,0,0,1,0
"PS_chr01_G000268",1194.315,1021.691,1018.804,1251.311,1829.257,874.048,780.687,1456.165
"PS_chr01_G000269",1573.285,1405.97,1322,2123.144,1654.716,1108.742,1181.03,1467.599
"PS_chr01_G000271",0,0,64,2,7,0,70,0
"PS_chr01_G000272",142.235,126,186,126.015,182.044,106,96.432,148.922
"PS_chr01_G000273",0,0,0,0,0,0,0,0
"PS_chr01_G000275",0,4,1,0,2,0,0,2
"PS_chr01_G000284",189.067,71.747,205.275,148.785,188.811,151,272.481,266.093
"PS_chr01_G000285",226.445,315.253,332.725,148.116,241.752,194,159.92,282.437
"PS_chr01_G000286",2,4,0,6,0,2,0,0
"PS_chr01_G000287",145.411,0,19,59,159.443,0,155.624,28.567
"PS_chr01_G000288",0,0,1,0,0,0,0,0
"PS_chr01_G000289",14,5.001,11,1,6,6,8,10
"PS_chr01_G000290",0,0,0,0,0,0,0,0
"PS_chr01_G000291",201.024,250,197.303,248.057,227.283,109,141.774,189.156
"PS_chr01_G000292",578,422.927,1144.57,1851.412,1279.674,302,1390.827,1131.239
"PS_chr01_G000293",70.625,71.645,83.171,23.313,30.897,4.019,34.748,35.975
"PS_chr01_G000294",89,178,232,134.015,225.782,82,253.019,134.129
"PS_chr01_G000295",0,0,8,0,0,0,0,0
"PS_chr01_G000298",994.444,1168.515,1392.009,1432.526,1268.77,754.584,588.299,1008.772
"PS_chr01_G000299",5,3,4,1,10,0,7,2
"PS_chr01_G000304",445,323.001,344,223,575.532,403,242.07,364.001
"PS_chr01_G000306",35,28,21,35.148,75,50,41.306,23.044
"PS_chr01_G000307",337.031,288.142,13,73,307,95,283.402,79.069
"PS_chr01_G000308",0,0,0,4,2,0,0,5
"PS_chr01_G000309",57,0,0,11,0,0,0,0
"PS_chr01_G000310",0,0,0,0,0,0,3,0
"PS_chr01_G000311",0,0,0,0,0,0,0,0
"PS_chr01_G000321",0,0,0,0,0,0,0,0
"PS_chr01_G000322",0,0,0,0,0,0,0,0
"PS_chr01_G000324",14,7,0,0,7,8,5,4
"PS_chr01_G000325",223,157,7,131,92,162,70,62
"PS_chr01_G000328",0,0,0,0,0,0,0,0
"PS_chr01_G000329",0,0,0,0,0,0,0,0
"PS_chr01_G000332",0,0,0,0,0,0,0,0
"PS_chr01_G000333",0,0,0,0,0,0,0,0
"PS_chr01_G000336",212.632,19.087,7.008,68.881,4,53.022,46,4
"PS_chr01_G000337",0,0,0,0,0,0,0,0
"PS_chr01_G000338",0,0,0,0,0,0,0,0
"PS_chr01_G000342",587.336,553.92,459.203,670.525,568.182,410,253.378,348.001
"PS_chr01_G000344",401.022,377.518,502.213,566,704.976,360,368.645,651.703
"PS_chr01_G000345",0,0,0,0,0,0,0,0
"PS_chr01_G000346",763.992,867.877,998.476,857.685,970.081,595,511.299,696.874
"PS_chr01_G000350",886.769,550.323,412.171,1095.744,711.583,512.559,284,699.806
"PS_chr01_G000351",528,335,346,776,67,169.047,35,52
"PS_chr01_G000352",0,0,0,0,0,1.014,2.05,0
"PS_chr01_G000353",0,0,0,1.003,2,0,0,0
"PS_chr01_G000354",5374.355,5919.6,6109.399,4602.063,10796.189,3409.052,4716.472,7825.071
"PS_chr01_G000355",344.626,302.07,217.369,341.595,215.579,189.303,111.475,232.245
"PS_chr01_G000356",260.937,174,209.735,99.009,571.956,101,265,482.325
"PS_chr01_G000359",448,249.04,841.831,459,1231.484,341,623.771,774.189
"PS_chr01_G000360",571.213,568.792,631.04,698.656,777.345,453.541,296.748,755.418
"PS_chr01_G000362",3234.156,3596.681,2988.732,2954.639,4258.647,2289.614,2058.267,3853.492
"PS_chr01_G000363",800.252,560,1428.999,1294.069,2071.334,578,691.174,1106.865
"PS_chr01_G000364",3970.945,3656.618,5634.491,4602.661,9196.544,3017.574,4317.973,8978.509
"PS_chr01_G000365",0,0,0,0,0,0,0,0
"PS_chr01_G000366",0,0,0,0,0,0,0,0
"PS_chr01_G000367",522.077,491.254,543.991,517.607,548.272,276.133,337.058,669.585
"PS_chr01_G000369",0,0,0,0,2,0,0,1
"PS_chr01_G000370",11,3,15.958,0,0,3,14,0
"PS_chr01_G000371",1.844,10.773,16.001,2.93,3.468,2.051,19.081,5.149
"PS_chr01_G000372",7,1.005,9.042,0,0,9,1,0
"PS_chr01_G000373",5217.283,4368.47,3906.498,5158.135,7412.094,3688.645,3402.036,5856.701
"PS_chr01_G000374",0,0,0,0,2,0,3,0
"PS_chr01_G000375",0,0,0,0,0,0,0,0
"PS_chr01_G000376",453,425.12,470,301.946,609.328,349.904,331.137,490.39
"PS_chr01_G000377",154.836,168.232,177.553,172.141,310.962,215.697,202.976,74.89
"PS_chr01_G000379",202.634,299.637,274.844,211.14,466.168,209.019,474.31,127.104
"PS_chr01_G000380",227.824,232.497,507.623,591.518,1046.266,256.27,783.916,263.549
"PS_chr01_G000381",183.999,87.321,196.059,772.008,818.212,230.865,354.046,651.738
"PS_chr01_G000382",33.557,55.354,93.579,54.719,304.983,39.182,183.252,29.776
"PS_chr01_G000383",0,0,0,1.009,2.017,6.465,0,6.086
"PS_chr01_G000384",230.006,186.41,351.939,459.334,523.996,129.969,378.03,228.679
"PS_chr01_G000385",3451.543,3409.524,5528.54,4725.431,4757.901,2513.485,1812.63,3200.828
"PS_chr01_G000386",0,1,1,0,9,5,1,1
"PS_chr01_G000387",281,227.755,147,287,292.703,282.553,120.35,270.999
"PS_chr01_G000388",141.084,184.14,205,153,195,125,64,163.426
"PS_chr01_G000389",36,67.328,20,51.478,46.356,32.454,20,47.001
"PS_chr01_G000390",242,183.021,170,243.224,239,249,167.205,217.211
"PS_chr01_G000391",0,0,0,0,0,0,0,0
"PS_chr01_G000392",0,0,0,0,0,0,0,0
"PS_chr01_G000393",58,76,54,70,70,45.036,16,51
"PS_chr01_G000394",6,15,12,6,24,8,9,51
"PS_chr01_G000395",93,109.988,107,92,105,96,57,91
"PS_chr01_G000396",0,0,0,0,0,0,0,0
"PS_chr01_G000397",0,0,0,0,0,0,0,0
"PS_chr01_G000398",117,197.082,243,187.988,330.903,191.001,173.923,358.016
"PS_chr01_G000400",5431.356,5817.053,4572.768,6911.701,6185.862,4194.044,2631.991,5161.243
"PS_chr01_G000401",63,67,118,62,194.897,116.084,35.078,118
"PS_chr01_G000402",5174.924,3869.241,2981.321,4642.306,4147.062,2913.767,1980.91,2313.074
"PS_chr01_G000403",1967.556,2069.816,1728.642,2308.761,1870.726,1588.862,866.379,1751.656
"PS_chr01_G000404",832.355,779.094,1005.218,1022.185,1345.945,611.879,534.116,1150.542
"PS_chr01_G000405",0,0,0,0,0,0,0,0
"PS_chr01_G000406",300.001,289,374.72,400.762,643.014,320.022,315.094,766.714
"PS_chr01_G000407",0,0,0,0,0,0,0,0
"PS_chr01_G000408",0,0,0,0,0,0,0,0
"PS_chr01_G000410",111.007,75.757,0,264.784,0,0,0,0
"PS_chr01_G000411",51.415,183.519,4,103.312,9.883,18.264,3.032,7.046
"PS_chr01_G000412",276.944,286.484,113.076,58.693,402.266,183.2,326.486,237.749
"PS_chr01_G000413",8.657,23.386,9.808,0,39.424,20.64,27.479,28.16
"PS_chr01_G000414",304.748,0,437.987,603.226,0.002,135.312,0.006,889.934
"PS_chr01_G000415",661.487,754.696,0,0,1260.284,941.615,539.227,90.468
"PS_chr01_G000416",309.914,305.023,178.214,53.483,347.264,250.612,261.25,209.556
"PS_chr01_G000417",42.098,42.49,14.486,11.155,83.777,69.572,25.118,1.555
"PS_chr01_G000418",10.871,7.838,7.296,1,27.467,22.729,4.835,18.461
"PS_chr01_G000419",1252.814,1051.703,1254.425,1764.871,1906.502,1025.984,628.138,1082.694
"PS_chr01_G000423",461.887,706.501,253,76.446,606.629,712.966,592.889,282.139
"PS_chr01_G000424",1116.184,1071.741,1230.727,1218.639,1698.122,824.28,737.913,1793.651
"PS_chr01_G000425",0,0,0,0,0,0,0,0
"PS_chr01_G000426",0,0,0,0,0,0,0,0
"PS_chr01_G000427",264,318,268,435.003,702.884,486,268.618,594.254
"PS_chr01_G000428",0,0,0,0,0,0,0,0
"PS_chr01_G000430",506,306,78.068,992.797,111,647.354,38,83
"PS_chr01_G000431",1488,1397.994,1438.276,1357.383,1524.115,937.965,424.426,1841.506
"PS_chr01_G000432",2232.366,1895.163,1454.634,2109.149,2098.739,1541.737,900.08,1553.431
"PS_chr01_G000433",4.953,9.093,2.013,43.402,0,0,16.977,0
"PS_chr01_G000434",9.453,0,2.007,0,1.012,0,0,5.12
"PS_chr01_G000435",61.723,74.585,56.192,131.805,1,58.402,67.008,78.001
"PS_chr01_G000436",1319,698.323,984.567,1168.659,1148.953,804.816,562.019,789.601
"PS_chr01_G000437",180,112.004,67,349.288,107.775,288,17,35
"PS_chr01_G000438",747.086,584.143,631.908,893.081,1074.95,455,471.31,927.075
"PS_chr01_G000439",131.006,11,17,40,8,40,1,15
"PS_chr01_G000440",0,0,0,0,0,0,0,0
"PS_chr01_G000441",0,0,0,0,0,0,0,0
"PS_chr01_G000442",3945.928,3611.559,2924.73,5931.28,3488.901,2484.965,1737.513,3338.802
"PS_chr01_G000443",317.004,238,299.013,394.032,344.388,229,273.025,283.624
"PS_chr01_G000444",0,0,0,0,0,0,0,0
"PS_chr01_G000445",4285.171,4107.608,3710.237,4774.516,4542.245,3115.885,1885.371,3537.128
"PS_chr01_G000448",0,0,0,0,0,0,0,0
"PS_chr01_G000449",1,0,0,0,0,0,0,0
"PS_chr01_G000451",6,0,0,0,0,0,2,0
"PS_chr01_G000452",75,68,41,28,44,78,132.059,483
"PS_chr01_G000453",0,0,0,6,0,0,63.579,180.258
"PS_chr01_G000454",5.805,3.165,0,14.561,0,5.212,6.52,2.688
"PS_chr01_G000455",31.225,24,20.864,34.952,31.046,11.788,34.385,33.366
"PS_chr01_G000456",0,0,0,0,0,0,0,0
"PS_chr01_G000457",54.098,42.129,52.372,22.946,57.557,33.981,35.065,31.263
"PS_chr01_G000458",0,0,0,84,0,0,144.707,138.742
"PS_chr01_G000459",90.873,73.706,60.764,87.54,118.404,38.02,116.03,174.698
"PS_chr01_G000460",1,0,0,0,1.009,0,0,3
"PS_chr01_G000461",808.531,591.954,727.85,939.592,1421.764,908.89,599.03,887.924
"PS_chr01_G000462",1470.61,954.539,1621.962,1537.674,3518.406,1890.011,1999.516,2876.625
"PS_chr01_G000463",17.777,0,5.451,10.667,26.831,8.605,4.667,31.369
"PS_chr01_G000464",4060.804,3218.634,3046.221,3631.953,3619.702,2665.204,2026.126,2455.981
"PS_chr01_G000466",30,19,42,39.01,64,16,35,45
"PS_chr01_G000467",6,8,13,22,32,10,25,28
"PS_chr01_G000468",13,14,20,10,34,6,15,29
"PS_chr01_G000469",320.004,171,765.324,732.956,824.518,113,310.037,871.053
"PS_chr01_G000470",0,0,0,0,0,0,0,0
"PS_chr01_G000471",1333,1030.96,1219.778,1372.214,1794.566,1025.235,771.769,1500.179
"PS_chr01_G000472",960.243,785.74,1018.424,1389.148,1245.69,759.454,509.69,1153.693
