PS_chr01_G000001.mRNA.3	PS_chr01_G000001
PS_chr01_G000112.mRNA.1	PS_chr01_G000112
PS_chr01_G000113.mRNA.2	PS_chr01_G000113
PS_chr01_G000114.mRNA.2	PS_chr01_G000114
PS_chr01_G000115.mRNA.1	PS_chr01_G000115
PS_chr01_G000116.mRNA.1	PS_chr01_G000116
PS_chr01_G000118.mRNA.2	PS_chr01_G000118
PS_chr01_G000119.mRNA.1	PS_chr01_G000119
PS_chr01_G000121.mRNA.1	PS_chr01_G000121
PS_chr01_G000122.mRNA.1	PS_chr01_G000122
PS_chr01_G000123.mRNA.1	PS_chr01_G000123
PS_chr01_G000125.mRNA.1	PS_chr01_G000125
PS_chr01_G000126.mRNA.1	PS_chr01_G000126
PS_chr01_G000127.mRNA.1	PS_chr01_G000127
PS_chr01_G000128.mRNA.2	PS_chr01_G000128
PS_chr01_G000129.mRNA.1	PS_chr01_G000129
PS_chr01_G000130.mRNA.4	PS_chr01_G000130
PS_chr01_G000131.mRNA.2	PS_chr01_G000131
PS_chr01_G000132.mRNA.1	PS_chr01_G000132
PS_chr01_G000133.mRNA.1	PS_chr01_G000133
PS_chr01_G000134.mRNA.1	PS_chr01_G000134
PS_chr01_G000135.mRNA.1	PS_chr01_G000135
PS_chr01_G000136.mRNA.1	PS_chr01_G000136
PS_chr01_G000137.mRNA.2	PS_chr01_G000137
PS_chr01_G000138.mRNA.1	PS_chr01_G000138
PS_chr01_G000139.mRNA.2	PS_chr01_G000139
PS_chr01_G000140.mRNA.1	PS_chr01_G000140
PS_chr01_G000141.mRNA.1	PS_chr01_G000141
PS_chr01_G000142.mRNA.4	PS_chr01_G000142
PS_chr01_G000143.mRNA.1	PS_chr01_G000143
PS_chr01_G000145.mRNA.1	PS_chr01_G000145
PS_chr01_G000146.mRNA.2	PS_chr01_G000146
PS_chr01_G000147.mRNA.4	PS_chr01_G000147
PS_chr01_G000148.mRNA.3	PS_chr01_G000148
PS_chr01_G000149.mRNA.1	PS_chr01_G000149
PS_chr01_G000150.mRNA.1	PS_chr01_G000150
PS_chr01_G000152.mRNA.1	PS_chr01_G000152
PS_chr01_G000153.mRNA.2	PS_chr01_G000153
PS_chr01_G000154.mRNA.2	PS_chr01_G000154
PS_chr01_G000156.mRNA.1	PS_chr01_G000156
PS_chr01_G000157.mRNA.1	PS_chr01_G000157
PS_chr01_G000158.mRNA.1	PS_chr01_G000158
PS_chr01_G000159.mRNA.8	PS_chr01_G000159
PS_chr01_G000162.mRNA.1	PS_chr01_G000162
PS_chr01_G000163.mRNA.1	PS_chr01_G000163
PS_chr01_G000164.mRNA.1	PS_chr01_G000164
PS_chr01_G000165.mRNA.1	PS_chr01_G000165
PS_chr01_G000166.mRNA.1	PS_chr01_G000166
PS_chr01_G000167.mRNA.2	PS_chr01_G000167
PS_chr01_G000168.mRNA.1	PS_chr01_G000168
PS_chr01_G000169.mRNA.1	PS_chr01_G000169
PS_chr01_G000170.mRNA.1	PS_chr01_G000170
PS_chr01_G000171.mRNA.1	PS_chr01_G000171
PS_chr01_G000172.mRNA.1	PS_chr01_G000172
PS_chr01_G000173.mRNA.1	PS_chr01_G000173
PS_chr01_G000174.mRNA.1	PS_chr01_G000174
PS_chr01_G000175.mRNA.1	PS_chr01_G000175
PS_chr01_G000176.mRNA.1	PS_chr01_G000176
PS_chr01_G000177.mRNA.1	PS_chr01_G000177
PS_chr01_G000178.mRNA.1	PS_chr01_G000178
PS_chr01_G000179.mRNA.1	PS_chr01_G000179
PS_chr01_G000180.mRNA.1	PS_chr01_G000180
PS_chr01_G000181.mRNA.1	PS_chr01_G000181
PS_chr01_G000182.mRNA.1	PS_chr01_G000182
PS_chr01_G000183.mRNA.1	PS_chr01_G000183
PS_chr01_G000184.mRNA.1	PS_chr01_G000184
PS_chr01_G000185.mRNA.1	PS_chr01_G000185
PS_chr01_G000186.mRNA.1	PS_chr01_G000186
PS_chr01_G000187.mRNA.2	PS_chr01_G000187
PS_chr01_G000189.mRNA.1	PS_chr01_G000189
PS_chr01_G000190.mRNA.2	PS_chr01_G000190
PS_chr01_G000191.mRNA.1	PS_chr01_G000191
PS_chr01_G000192.mRNA.3	PS_chr01_G000192
PS_chr01_G000193.mRNA.1	PS_chr01_G000193
PS_chr01_G000194.mRNA.2	PS_chr01_G000194
PS_chr01_G000196.mRNA.1	PS_chr01_G000196
PS_chr01_G000197.mRNA.1	PS_chr01_G000197
PS_chr01_G000198.mRNA.1	PS_chr01_G000198
PS_chr01_G000200.mRNA.7	PS_chr01_G000200
PS_chr01_G000201.mRNA.1	PS_chr01_G000201
PS_chr01_G000202.mRNA.1	PS_chr01_G000202
PS_chr01_G000203.mRNA.1	PS_chr01_G000203
PS_chr01_G000204.mRNA.1	PS_chr01_G000204
PS_chr01_G000205.mRNA.1	PS_chr01_G000205
PS_chr01_G000206.mRNA.2	PS_chr01_G000206
PS_chr01_G000207.mRNA.1	PS_chr01_G000207
PS_chr01_G000208.mRNA.1	PS_chr01_G000208
PS_chr01_G000209.mRNA.1	PS_chr01_G000209
PS_chr01_G000210.mRNA.1	PS_chr01_G000210
PS_chr01_G000212.mRNA.8	PS_chr01_G000212
PS_chr01_G000213.mRNA.1	PS_chr01_G000213
PS_chr01_G000214.mRNA.1	PS_chr01_G000214
PS_chr01_G000215.mRNA.1	PS_chr01_G000215
PS_chr01_G000216.mRNA.1	PS_chr01_G000216
PS_chr01_G000217.mRNA.5	PS_chr01_G000217
PS_chr01_G000218.mRNA.2	PS_chr01_G000218
PS_chr01_G000219.mRNA.1	PS_chr01_G000219
PS_chr01_G000220.mRNA.3	PS_chr01_G000220
PS_chr01_G000221.mRNA.1	PS_chr01_G000221
PS_chr01_G000222.mRNA.1	PS_chr01_G000222
PS_chr01_G000223.mRNA.1	PS_chr01_G000223
PS_chr01_G000224.mRNA.3	PS_chr01_G000224
PS_chr01_G000225.mRNA.1	PS_chr01_G000225
PS_chr01_G000226.mRNA.1	PS_chr01_G000226
PS_chr01_G000227.mRNA.1	PS_chr01_G000227
PS_chr01_G000228.mRNA.1	PS_chr01_G000228
PS_chr01_G000230.mRNA.1	PS_chr01_G000230
PS_chr01_G000232.mRNA.1	PS_chr01_G000232
PS_chr01_G000231.mRNA.3	PS_chr01_G000231
PS_chr01_G000234.mRNA.2	PS_chr01_G000234
PS_chr01_G000235.mRNA.1	PS_chr01_G000235
PS_chr01_G000236.mRNA.1	PS_chr01_G000236
PS_chr01_G000237.mRNA.1	PS_chr01_G000237
PS_chr01_G000239.mRNA.17	PS_chr01_G000239
PS_chr01_G000241.mRNA.7	PS_chr01_G000241
PS_chr01_G000242.mRNA.1	PS_chr01_G000242
PS_chr01_G000244.mRNA.1	PS_chr01_G000244
PS_chr01_G000245.mRNA.6	PS_chr01_G000245
PS_chr01_G000246.mRNA.8	PS_chr01_G000246
PS_chr01_G000247.mRNA.2	PS_chr01_G000247
PS_chr01_G000249.mRNA.1	PS_chr01_G000249
PS_chr01_G000250.mRNA.2	PS_chr01_G000250
PS_chr01_G000251.mRNA.1	PS_chr01_G000251
PS_chr01_G000252.mRNA.1	PS_chr01_G000252
PS_chr01_G000253.mRNA.2	PS_chr01_G000253
PS_chr01_G000254.mRNA.1	PS_chr01_G000254
PS_chr01_G000255.mRNA.1	PS_chr01_G000255
PS_chr01_G000256.mRNA.1	PS_chr01_G000256
PS_chr01_G000257.mRNA.1	PS_chr01_G000257
PS_chr01_G000258.mRNA.1	PS_chr01_G000258
PS_chr01_G000260.mRNA.1	PS_chr01_G000260
PS_chr01_G000261.mRNA.1	PS_chr01_G000261
PS_chr01_G000262.mRNA.1	PS_chr01_G000262
PS_chr01_G000264.mRNA.4	PS_chr01_G000264
PS_chr01_G000266.mRNA.1	PS_chr01_G000266
PS_chr01_G000268.mRNA.1	PS_chr01_G000268
PS_chr01_G000269.mRNA.1	PS_chr01_G000269
PS_chr01_G000271.mRNA.2	PS_chr01_G000271
PS_chr01_G000272.mRNA.1	PS_chr01_G000272
PS_chr01_G000273.mRNA.1	PS_chr01_G000273
PS_chr01_G000275.mRNA.1	PS_chr01_G000275
PS_chr01_G000284.mRNA.1	PS_chr01_G000284
PS_chr01_G000285.mRNA.1	PS_chr01_G000285
PS_chr01_G000286.mRNA.1	PS_chr01_G000286
PS_chr01_G000287.mRNA.2	PS_chr01_G000287
PS_chr01_G000288.mRNA.1	PS_chr01_G000288
PS_chr01_G000289.mRNA.1	PS_chr01_G000289
PS_chr01_G000290.mRNA.1	PS_chr01_G000290
PS_chr01_G000291.mRNA.6	PS_chr01_G000291
PS_chr01_G000292.mRNA.1	PS_chr01_G000292
PS_chr01_G000293.mRNA.1	PS_chr01_G000293
PS_chr01_G000294.mRNA.1	PS_chr01_G000294
PS_chr01_G000295.mRNA.3	PS_chr01_G000295
PS_chr01_G000298.mRNA.1	PS_chr01_G000298
PS_chr01_G000299.mRNA.1	PS_chr01_G000299
PS_chr01_G000304.mRNA.19	PS_chr01_G000304
PS_chr01_G000306.mRNA.1	PS_chr01_G000306
PS_chr01_G000307.mRNA.2	PS_chr01_G000307
PS_chr01_G000308.mRNA.1	PS_chr01_G000308
PS_chr01_G000309.mRNA.4	PS_chr01_G000309
PS_chr01_G000310.mRNA.1	PS_chr01_G000310
PS_chr01_G000311.mRNA.1	PS_chr01_G000311
PS_chr01_G000321.mRNA.2	PS_chr01_G000321
PS_chr01_G000322.mRNA.6	PS_chr01_G000322
PS_chr01_G000324.mRNA.1	PS_chr01_G000324
PS_chr01_G000325.mRNA.1	PS_chr01_G000325
PS_chr01_G000328.mRNA.1	PS_chr01_G000328
PS_chr01_G000329.mRNA.1	PS_chr01_G000329
PS_chr01_G000332.mRNA.1	PS_chr01_G000332
PS_chr01_G000333.mRNA.1	PS_chr01_G000333
PS_chr01_G000336.mRNA.7	PS_chr01_G000336
PS_chr01_G000337.mRNA.1	PS_chr01_G000337
PS_chr01_G000338.mRNA.1	PS_chr01_G000338
PS_chr01_G000342.mRNA.1	PS_chr01_G000342
PS_chr01_G000344.mRNA.1	PS_chr01_G000344
PS_chr01_G000345.mRNA.1	PS_chr01_G000345
PS_chr01_G000346.mRNA.1	PS_chr01_G000346
PS_chr01_G000350.mRNA.1	PS_chr01_G000350
PS_chr01_G000351.mRNA.1	PS_chr01_G000351
PS_chr01_G000352.mRNA.1	PS_chr01_G000352
PS_chr01_G000353.mRNA.1	PS_chr01_G000353
PS_chr01_G000354.mRNA.3	PS_chr01_G000354
PS_chr01_G000355.mRNA.2	PS_chr01_G000355
PS_chr01_G000356.mRNA.1	PS_chr01_G000356
PS_chr01_G000359.mRNA.2	PS_chr01_G000359
PS_chr01_G000360.mRNA.1	PS_chr01_G000360
PS_chr01_G000362.mRNA.1	PS_chr01_G000362
PS_chr01_G000363.mRNA.1	PS_chr01_G000363
PS_chr01_G000364.mRNA.1	PS_chr01_G000364
PS_chr01_G000365.mRNA.1	PS_chr01_G000365
PS_chr01_G000366.mRNA.1	PS_chr01_G000366
PS_chr01_G000367.mRNA.2	PS_chr01_G000367
PS_chr01_G000369.mRNA.1	PS_chr01_G000369
PS_chr01_G000370.mRNA.1	PS_chr01_G000370
PS_chr01_G000371.mRNA.1	PS_chr01_G000371
PS_chr01_G000372.mRNA.1	PS_chr01_G000372
PS_chr01_G000373.mRNA.3	PS_chr01_G000373
PS_chr01_G000374.mRNA.1	PS_chr01_G000374
PS_chr01_G000375.mRNA.1	PS_chr01_G000375
PS_chr01_G000376.mRNA.1	PS_chr01_G000376
PS_chr01_G000377.mRNA.1	PS_chr01_G000377
PS_chr01_G000379.mRNA.1	PS_chr01_G000379
PS_chr01_G000380.mRNA.1	PS_chr01_G000380
PS_chr01_G000381.mRNA.2	PS_chr01_G000381
PS_chr01_G000382.mRNA.1	PS_chr01_G000382
PS_chr01_G000383.mRNA.2	PS_chr01_G000383
PS_chr01_G000384.mRNA.2	PS_chr01_G000384
PS_chr01_G000385.mRNA.1	PS_chr01_G000385
PS_chr01_G000386.mRNA.1	PS_chr01_G000386
PS_chr01_G000387.mRNA.1	PS_chr01_G000387
PS_chr01_G000388.mRNA.1	PS_chr01_G000388
PS_chr01_G000389.mRNA.1	PS_chr01_G000389
PS_chr01_G000390.mRNA.2	PS_chr01_G000390
PS_chr01_G000391.mRNA.1	PS_chr01_G000391
PS_chr01_G000392.mRNA.1	PS_chr01_G000392
PS_chr01_G000393.mRNA.1	PS_chr01_G000393
PS_chr01_G000394.mRNA.1	PS_chr01_G000394
PS_chr01_G000395.mRNA.3	PS_chr01_G000395
PS_chr01_G000396.mRNA.1	PS_chr01_G000396
PS_chr01_G000397.mRNA.1	PS_chr01_G000397
PS_chr01_G000398.mRNA.1	PS_chr01_G000398
PS_chr01_G000400.mRNA.2	PS_chr01_G000400
PS_chr01_G000401.mRNA.17	PS_chr01_G000401
PS_chr01_G000402.mRNA.1	PS_chr01_G000402
PS_chr01_G000403.mRNA.1	PS_chr01_G000403
PS_chr01_G000404.mRNA.2	PS_chr01_G000404
PS_chr01_G000405.mRNA.1	PS_chr01_G000405
PS_chr01_G000406.mRNA.2	PS_chr01_G000406
PS_chr01_G000407.mRNA.1	PS_chr01_G000407
PS_chr01_G000408.mRNA.1	PS_chr01_G000408
PS_chr01_G000410.mRNA.2	PS_chr01_G000410
PS_chr01_G000411.mRNA.1	PS_chr01_G000411
PS_chr01_G000412.mRNA.1	PS_chr01_G000412
PS_chr01_G000413.mRNA.1	PS_chr01_G000413
PS_chr01_G000414.mRNA.6	PS_chr01_G000414
PS_chr01_G000415.mRNA.1	PS_chr01_G000415
PS_chr01_G000416.mRNA.1	PS_chr01_G000416
PS_chr01_G000417.mRNA.1	PS_chr01_G000417
PS_chr01_G000418.mRNA.1	PS_chr01_G000418
PS_chr01_G000419.mRNA.1	PS_chr01_G000419
PS_chr01_G000423.mRNA.1	PS_chr01_G000423
PS_chr01_G000424.mRNA.1	PS_chr01_G000424
PS_chr01_G000425.mRNA.1	PS_chr01_G000425
PS_chr01_G000426.mRNA.1	PS_chr01_G000426
PS_chr01_G000427.mRNA.1	PS_chr01_G000427
PS_chr01_G000428.mRNA.1	PS_chr01_G000428
PS_chr01_G000430.mRNA.1	PS_chr01_G000430
PS_chr01_G000431.mRNA.1	PS_chr01_G000431
PS_chr01_G000432.mRNA.5	PS_chr01_G000432
PS_chr01_G000433.mRNA.1	PS_chr01_G000433
PS_chr01_G000434.mRNA.1	PS_chr01_G000434
PS_chr01_G000435.mRNA.1	PS_chr01_G000435
PS_chr01_G000436.mRNA.1	PS_chr01_G000436
PS_chr01_G000437.mRNA.3	PS_chr01_G000437
PS_chr01_G000438.mRNA.5	PS_chr01_G000438
PS_chr01_G000439.mRNA.1	PS_chr01_G000439
PS_chr01_G000440.mRNA.1	PS_chr01_G000440
PS_chr01_G000441.mRNA.1	PS_chr01_G000441
PS_chr01_G000442.mRNA.2	PS_chr01_G000442
PS_chr01_G000443.mRNA.1	PS_chr01_G000443
PS_chr01_G000444.mRNA.1	PS_chr01_G000444
PS_chr01_G000445.mRNA.2	PS_chr01_G000445
PS_chr01_G000448.mRNA.1	PS_chr01_G000448
PS_chr01_G000449.mRNA.1	PS_chr01_G000449
PS_chr01_G000451.mRNA.1	PS_chr01_G000451
PS_chr01_G000452.mRNA.1	PS_chr01_G000452
PS_chr01_G000453.mRNA.1	PS_chr01_G000453
PS_chr01_G000454.mRNA.2	PS_chr01_G000454
PS_chr01_G000455.mRNA.1	PS_chr01_G000455
PS_chr01_G000456.mRNA.1	PS_chr01_G000456
PS_chr01_G000457.mRNA.1	PS_chr01_G000457
PS_chr01_G000458.mRNA.1	PS_chr01_G000458
PS_chr01_G000459.mRNA.1	PS_chr01_G000459
PS_chr01_G000460.mRNA.1	PS_chr01_G000460
PS_chr01_G000461.mRNA.1	PS_chr01_G000461
PS_chr01_G000462.mRNA.1	PS_chr01_G000462
PS_chr01_G000463.mRNA.1	PS_chr01_G000463
PS_chr01_G000464.mRNA.3	PS_chr01_G000464
PS_chr01_G000466.mRNA.1	PS_chr01_G000466
PS_chr01_G000467.mRNA.2	PS_chr01_G000467
PS_chr01_G000468.mRNA.1	PS_chr01_G000468
PS_chr01_G000469.mRNA.3	PS_chr01_G000469
PS_chr01_G000470.mRNA.1	PS_chr01_G000470
PS_chr01_G000471.mRNA.1	PS_chr01_G000471
PS_chr01_G000472.mRNA.4	PS_chr01_G000472
PS_chr01_G000473.mRNA.1	PS_chr01_G000473
PS_chr01_G000474.mRNA.2	PS_chr01_G000474
PS_chr01_G000475.mRNA.1	PS_chr01_G000475
PS_chr01_G000476.mRNA.1	PS_chr01_G000476
PS_chr01_G000477.mRNA.1	PS_chr01_G000477
PS_chr01_G000478.mRNA.1	PS_chr01_G000478
PS_chr01_G000479.mRNA.2	PS_chr01_G000479
PS_chr01_G000480.mRNA.1	PS_chr01_G000480
PS_chr01_G000481.mRNA.1	PS_chr01_G000481
PS_chr01_G000482.mRNA.1	PS_chr01_G000482
PS_chr01_G000483.mRNA.1	PS_chr01_G000483
PS_chr01_G000484.mRNA.1	PS_chr01_G000484
PS_chr01_G000485.mRNA.3	PS_chr01_G000485
PS_chr01_G000489.mRNA.2	PS_chr01_G000489
PS_chr01_G000490.mRNA.1	PS_chr01_G000490
PS_chr01_G000491.mRNA.1	PS_chr01_G000491
PS_chr01_G000492.mRNA.1	PS_chr01_G000492
PS_chr01_G000493.mRNA.1	PS_chr01_G000493
PS_chr01_G000495.mRNA.1	PS_chr01_G000495
PS_chr01_G000496.mRNA.1	PS_chr01_G000496
PS_chr01_G000497.mRNA.1	PS_chr01_G000497
PS_chr01_G000498.mRNA.1	PS_chr01_G000498
PS_chr01_G000500.mRNA.1	PS_chr01_G000500
PS_chr01_G000502.mRNA.1	PS_chr01_G000502
PS_chr01_G000503.mRNA.1	PS_chr01_G000503
PS_chr01_G000505.mRNA.1	PS_chr01_G000505
PS_chr01_G000507.mRNA.1	PS_chr01_G000507
PS_chr01_G000509.mRNA.1	PS_chr01_G000509
PS_chr01_G000510.mRNA.3	PS_chr01_G000510
PS_chr01_G000511.mRNA.1	PS_chr01_G000511
PS_chr01_G000512.mRNA.1	PS_chr01_G000512
PS_chr01_G000513.mRNA.1	PS_chr01_G000513
PS_chr01_G000514.mRNA.1	PS_chr01_G000514
PS_chr01_G000515.mRNA.1	PS_chr01_G000515
PS_chr01_G000516.mRNA.1	PS_chr01_G000516
PS_chr01_G000517.mRNA.1	PS_chr01_G000517
PS_chr01_G000518.mRNA.1	PS_chr01_G000518
PS_chr01_G000519.mRNA.1	PS_chr01_G000519
PS_chr01_G000520.mRNA.1	PS_chr01_G000520
PS_chr01_G000521.mRNA.1	PS_chr01_G000521
PS_chr01_G000522.mRNA.1	PS_chr01_G000522
PS_chr01_G000523.mRNA.1	PS_chr01_G000523
PS_chr01_G000524.mRNA.1	PS_chr01_G000524
PS_chr01_G000525.mRNA.1	PS_chr01_G000525
PS_chr01_G000526.mRNA.1	PS_chr01_G000526
PS_chr01_G000527.mRNA.2	PS_chr01_G000527
PS_chr01_G000528.mRNA.2	PS_chr01_G000528
PS_chr01_G000529.mRNA.1	PS_chr01_G000529
PS_chr01_G000530.mRNA.1	PS_chr01_G000530
PS_chr01_G000531.mRNA.1	PS_chr01_G000531
PS_chr01_G000532.mRNA.1	PS_chr01_G000532
PS_chr01_G000533.mRNA.1	PS_chr01_G000533
PS_chr01_G000534.mRNA.1	PS_chr01_G000534
PS_chr01_G000535.mRNA.1	PS_chr01_G000535
PS_chr01_G000536.mRNA.1	PS_chr01_G000536
PS_chr01_G000537.mRNA.1	PS_chr01_G000537
PS_chr01_G000538.mRNA.1	PS_chr01_G000538
PS_chr01_G000539.mRNA.1	PS_chr01_G000539
PS_chr01_G000540.mRNA.1	PS_chr01_G000540
PS_chr01_G000541.mRNA.1	PS_chr01_G000541
PS_chr01_G000542.mRNA.1	PS_chr01_G000542
PS_chr01_G000543.mRNA.1	PS_chr01_G000543
PS_chr01_G000544.mRNA.1	PS_chr01_G000544
PS_chr01_G000545.mRNA.1	PS_chr01_G000545
PS_chr01_G000546.mRNA.1	PS_chr01_G000546
PS_chr01_G000547.mRNA.1	PS_chr01_G000547
PS_chr01_G000548.mRNA.1	PS_chr01_G000548
PS_chr01_G000549.mRNA.1	PS_chr01_G000549
PS_chr01_G000550.mRNA.1	PS_chr01_G000550
PS_chr01_G000551.mRNA.1	PS_chr01_G000551
PS_chr01_G000552.mRNA.2	PS_chr01_G000552
PS_chr01_G000553.mRNA.1	PS_chr01_G000553
PS_chr01_G000554.mRNA.1	PS_chr01_G000554
PS_chr01_G000555.mRNA.1	PS_chr01_G000555
PS_chr01_G000556.mRNA.1	PS_chr01_G000556
PS_chr01_G000557.mRNA.1	PS_chr01_G000557
PS_chr01_G000558.mRNA.1	PS_chr01_G000558
PS_chr01_G000559.mRNA.1	PS_chr01_G000559
PS_chr01_G000560.mRNA.1	PS_chr01_G000560
PS_chr01_G000561.mRNA.1	PS_chr01_G000561
PS_chr01_G000562.mRNA.1	PS_chr01_G000562
PS_chr01_G000564.mRNA.1	PS_chr01_G000564
PS_chr01_G000565.mRNA.1	PS_chr01_G000565
PS_chr01_G000566.mRNA.1	PS_chr01_G000566
PS_chr01_G000567.mRNA.1	PS_chr01_G000567
PS_chr01_G000568.mRNA.1	PS_chr01_G000568
PS_chr01_G000569.mRNA.1	PS_chr01_G000569
PS_chr01_G000570.mRNA.1	PS_chr01_G000570
PS_chr01_G000571.mRNA.1	PS_chr01_G000571
PS_chr01_G000572.mRNA.1	PS_chr01_G000572
PS_chr01_G000573.mRNA.1	PS_chr01_G000573
PS_chr01_G000574.mRNA.1	PS_chr01_G000574
PS_chr01_G000575.mRNA.3	PS_chr01_G000575
PS_chr01_G000576.mRNA.1	PS_chr01_G000576
PS_chr01_G000577.mRNA.1	PS_chr01_G000577
PS_chr01_G000578.mRNA.1	PS_chr01_G000578
PS_chr01_G000579.mRNA.1	PS_chr01_G000579
PS_chr01_G000580.mRNA.1	PS_chr01_G000580
PS_chr01_G000581.mRNA.1	PS_chr01_G000581
PS_chr01_G000582.mRNA.2	PS_chr01_G000582
PS_chr01_G000583.mRNA.1	PS_chr01_G000583
PS_chr01_G000584.mRNA.1	PS_chr01_G000584
PS_chr01_G000585.mRNA.1	PS_chr01_G000585
PS_chr01_G000586.mRNA.2	PS_chr01_G000586
PS_chr01_G000587.mRNA.1	PS_chr01_G000587
PS_chr01_G000588.mRNA.1	PS_chr01_G000588
